,Cena,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie W Mieście,Typ nadwozia,Liczba drzwi,Liczba miejsc,Kolor,Rodzaj koloru,Kraj pochodzenia,Pierwsza rejestracja,Zarejestrowany w Polsce,Pierwszy właściciel,Bezwypadkowy,Serwisowany w ASO,Stan,Numer rejestracyjny pojazdu,Emisja CO2,Faktura VAT,Leasing,Tuning,Okres gwarancji producenta
0,405000,Osoby prywatnej,Osobowe,BMW,X5,xDrive30d sport,2021,1 000 km,2 993 cm3,Diesel,265 KM,Automatyczna,4x4 (dołączany automatycznie),null,SUV,5,5,Czarny,Metalik,Niemcy,null,null,Tak,Tak,null,Używane,null,null,null,null,null,null
1,70000,Osoby prywatnej,Osobowe,BMW,X5,xDrive40d,2011,252 000 km,2 993 cm3,Diesel,306 KM,Automatyczna,4x4 (stały),"8,80 l/100km",Sedan,5,5,Czarny,Metalik,Polska,18/11/2011,Tak,null,Tak,null,Używane,null,198 g/km,null,null,null,null
2,375000,Firmy,Osobowe,BMW,X5,xDrive30d,2019,75 676 km,2 993 cm3,Diesel,265 KM,Automatyczna,4x4 (dołączany automatycznie),null,SUV,5,5,Niebieski,Metalik,Polska,01/06/2019,Tak,null,null,Tak,Używane,null,null,Tak,null,null,null
3,185000,Osoby prywatnej,Osobowe,BMW,X5,xDrive25d,2016,109 500 km,1 995 cm3,Diesel,231 KM,Automatyczna,null,6 l/100km,SUV,5,null,Czarny,null,null,null,null,null,null,null,Używane,null,null,null,null,null,null
4,72000,Osoby prywatnej,Osobowe,BMW,X5,4.0d xDrive,2011,347 000 km,2 993 cm3,Diesel,306 KM,Automatyczna,null,8 l/100km,SUV,5,5,Czarny,null,null,null,null,null,null,null,Używane,null,null,null,null,null,null
5,458200,Firmy,Osobowe,BMW,X5,xDrive40i mHEV sport,2022,5 km,2 998 cm3,Benzyna,333 KM,Automatyczna,4x4 (dołączany automatycznie),9 l/100km,SUV,5,5,Czarny,Metalik,null,null,null,null,Tak,null,Nowe,null,176 g/km,Tak,Tak,null,null
6,139999,Osoby prywatnej,Osobowe,BMW,X5,xDrive50i,2015,80 000 km,4 395 cm3,Benzyna,450 KM,Automatyczna,null,14 l/100km,SUV,5,null,Biały,null,null,null,null,null,null,null,Używane,null,null,null,null,null,null
7,240000,Firmy,Osobowe,BMW,X5,xDrive30d Sport-Aut,2016,151 649 km,2 993 cm3,Diesel,258 KM,Automatyczna,4x4 (stały),10 l/100km,SUV,5,5,Inny kolor,Metalik,Polska,09/11/2016,Tak,Tak,Tak,Tak,Używane,FZI1858A,null,null,null,null,13/01/2023
8,52000,Osoby prywatnej,Osobowe,BMW,X5,3.0d xDrive,2007,330 000 km,2 993 cm3,Diesel,235 KM,Automatyczna,4x4 (stały),10 l/100km,SUV,5,5,Czarny,Perłowy,Niemcy,05/07/2007,Tak,null,Tak,Tak,Używane,null,null,null,null,null,null
9,59500,Osoby prywatnej,Osobowe,BMW,X5,3.0d xDrive,2007,291 494 km,2 993 cm3,Diesel,235 KM,Automatyczna,4x4 (dołączany automatycznie),10 l/100km,SUV,5,5,Czarny,Metalik,null,11/12/2018,Tak,null,Tak,null,Używane,EKU NR16,null,null,null,Tak,null
