,Cena,Oferta od,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ nadwozia,Kolor,Stan
0,75900,Osoby prywatnej,2012,163000,2995,Benzyna,310,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
1,133800,Firmy,2018,169800,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
2,288888,Firmy,2021,100,1968,Diesel,204,Automatyczna,4x4 (stały),Sedan,Niebieski,Nowe
3,119000,Osoby prywatnej,2018,162000,1984,Benzyna,252,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
4,17900,Osoby prywatnej,2005,232000,2698,Diesel,180,Manualna,Na przednie koła,Kombi,Szary,Używane
5,76200,Firmy,2014,175648,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
6,27000,Osoby prywatnej,2008,211328,1968,Diesel,170,Automatyczna,Na przednie koła,Sedan,Inny kolor,Używane
7,254650,Firmy,2021,23406,1984,Benzyna,265,Automatyczna,Na przednie koła,Kombi,Niebieski,Używane
8,139900,Firmy,2017,135012,1968,Diesel,190,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
9,154900,Firmy,2016,142900,2967,Diesel,326,Automatyczna,4x4 (stały),Kombi,Czerwony,Używane
10,220293,Firmy,2018,109900,2967,Diesel,286,Automatyczna,4x4 (stały),Kombi,Inny kolor,Używane
11,99900,Firmy,2014,189000,2967,Diesel,204,Automatyczna,4x4 (stały),Kombi,Szary,Używane
12,194217,Firmy,2018,147000,2967,Diesel,286,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
13,210000,Firmy,2020,14692,1968,Diesel,204,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
14,109900,Firmy,2018,169000,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Srebrny,Używane
15,34900,Osoby prywatnej,2007,231000,2967,Diesel,233,Manualna,4x4 (dołączany automatycznie),Kombi,Szary,Używane
16,335435,Firmy,2021,10,1968,Diesel,204,Automatyczna,4x4 (stały),Sedan,Czarny,Nowe
17,234900,Firmy,2021,23203,1968,Diesel,204,Automatyczna,4x4 (dołączany automatycznie),Sedan,Niebieski,Używane
